Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NPOLL	ERR1	VPOLL	ERR2	SDS1	ERR3	VFSD1	ERR4	VMSD1	ERR5	SDS2	ERR6	VFSD2	ERR7	VMSD2	ERR8
0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1	0.838	0.012	0.187	0.007	8.017	0.117	14522.791	415.269	15.156	0.693	0.050	0.003	0.596	0.069	0.051	0.003
2	0.853	0.011	0.205	0.007	11.647	0.154	30477.625	795.491	34.063	1.304	0.068	0.002	1.073	0.076	0.072	0.003
3	0.858	0.011	0.229	0.007	14.956	0.195	50076.336	1340.745	62.712	2.171	0.087	0.003	1.744	0.104	0.093	0.004
4	0.849	0.012	0.244	0.008	17.855	0.245	72175.648	2029.854	102.567	3.185	0.099	0.004	2.362	0.191	0.105	0.004
5	0.832	0.012	0.269	0.008	20.073	0.262	94041.242	2685.558	157.855	3.740	0.109	0.003	2.856	0.150	0.120	0.003
6	0.815	0.012	0.286	0.007	22.006	0.297	117410.922	3563.161	222.352	4.598	0.113	0.003	3.178	0.187	0.127	0.004
7	0.795	0.013	0.297	0.007	23.596	0.339	141622.172	4550.197	295.393	5.476	0.114	0.004	3.380	0.199	0.129	0.005
8	0.784	0.014	0.311	0.008	24.856	0.367	164568.859	5569.304	375.123	6.242	0.118	0.004	3.901	0.256	0.139	0.006
9	0.764	0.014	0.318	0.007	25.914	0.392	187433.516	6643.083	460.841	6.906	0.121	0.004	4.233	0.270	0.142	0.005
10	0.755	0.015	0.316	0.007	26.867	0.430	212424.641	8226.162	545.508	8.331	0.117	0.003	4.164	0.237	0.140	0.004
11	0.756	0.018	0.312	0.008	27.931	0.517	242704.797	10417.371	618.042	10.599	0.118	0.003	4.326	0.211	0.144	0.005
12	0.739	0.018	0.319	0.009	28.491	0.525	265667.031	11548.926	706.537	11.822	0.113	0.003	4.223	0.257	0.141	0.005
13	0.718	0.018	0.320	0.007	28.892	0.551	288579.719	13141.795	794.722	11.993	0.115	0.003	4.589	0.253	0.143	0.005
14	0.706	0.017	0.318	0.006	29.434	0.544	312721.031	13755.883	878.857	12.449	0.107	0.003	4.036	0.183	0.136	0.004
15	0.695	0.017	0.316	0.007	29.892	0.605	339219.875	15672.055	959.319	13.067	0.107	0.002	4.360	0.207	0.138	0.004
16	0.686	0.017	0.321	0.007	30.266	0.647	363850.250	18051.236	1043.999	13.252	0.101	0.003	3.998	0.199	0.130	0.004
17	0.680	0.018	0.311	0.007	30.935	0.719	397234.812	20560.945	1115.856	13.878	0.100	0.003	4.093	0.200	0.135	0.005
