Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=100, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
0	100	2.800	0.000	9.000	0.000	-0.055	0.000	-0.002	0.000	0.668	0.001	0.687	0.000	0.028	0.002
1	100	2.910	0.019	9.520	0.082	-0.052	0.001	-0.002	0.000	0.647	0.002	0.690	0.000	0.061	0.004
2	100	2.910	0.019	9.510	0.081	-0.053	0.001	-0.003	0.000	0.633	0.003	0.689	0.000	0.081	0.005
3	100	2.904	0.019	9.480	0.080	-0.053	0.001	-0.003	0.000	0.630	0.003	0.688	0.000	0.084	0.005
4	100	2.900	0.018	9.460	0.077	-0.053	0.001	-0.003	0.000	0.616	0.003	0.686	0.001	0.103	0.005
5	100	2.896	0.018	9.440	0.077	-0.054	0.001	-0.004	0.000	0.589	0.003	0.684	0.001	0.140	0.004
6	100	2.902	0.020	9.420	0.074	-0.052	0.001	-0.004	0.000	0.563	0.003	0.680	0.001	0.171	0.004
7	100	2.900	0.020	9.410	0.074	-0.051	0.002	-0.004	0.000	0.545	0.002	0.676	0.001	0.193	0.003
8	100	2.898	0.020	9.420	0.075	-0.050	0.001	-0.005	0.000	0.531	0.002	0.671	0.001	0.208	0.003
9	100	2.896	0.020	9.390	0.067	-0.048	0.002	-0.005	0.000	0.519	0.002	0.666	0.002	0.221	0.003
10	100	2.896	0.020	9.390	0.067	-0.047	0.002	-0.005	0.000	0.509	0.002	0.661	0.002	0.230	0.003
11	100	2.894	0.020	9.390	0.067	-0.045	0.002	-0.005	0.000	0.501	0.002	0.657	0.002	0.237	0.003
12	100	2.894	0.020	9.380	0.065	-0.044	0.002	-0.005	0.000	0.496	0.002	0.654	0.002	0.241	0.003
13	100	2.912	0.023	9.380	0.066	-0.041	0.002	-0.005	0.000	0.492	0.002	0.650	0.002	0.243	0.003
14	100	2.910	0.023	9.360	0.063	-0.040	0.002	-0.005	0.000	0.489	0.002	0.647	0.002	0.244	0.003
15	100	2.900	0.021	9.340	0.061	-0.039	0.002	-0.005	0.000	0.486	0.002	0.645	0.002	0.246	0.003
16	100	2.906	0.023	9.340	0.061	-0.038	0.002	-0.005	0.000	0.483	0.002	0.642	0.002	0.247	0.003
17	100	2.896	0.021	9.320	0.060	-0.037	0.002	-0.005	0.000	0.481	0.002	0.640	0.002	0.247	0.003
18	100	2.894	0.021	9.310	0.060	-0.036	0.002	-0.005	0.000	0.479	0.002	0.638	0.003	0.248	0.003
19	100	2.914	0.024	9.320	0.060	-0.034	0.002	-0.005	0.000	0.478	0.002	0.636	0.003	0.248	0.003
